Region,School,Snumber,BEL12,MAT12,informatics12,IT12,Code,ClassName,TypeClass,Profil,FormulaRaw,CodeProfession,StudyForm,FirstLang,SecondLang,Formula_modified,YourScore,MinLY,MaxLY
ВИТОША,"2 Средно училище ""Академик Емилиян Станев """,2202002,4.63,0,0,0,957,"Предприемачески -АЕ интензивно, ИЕ, Предприемачество и ГИ",профилирана,Предприемачески,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз),80171,дневна,Английски език,интензивно,(3 * BELNVO + 1 * MATNVO) + (1 * Bul + 1 * English),327,379.25,446.75
ВИТОША,"2 Средно училище ""Академик Емилиян Станев """,2202002,4.63,0,0,0,958,"Хуманитарни науки - АЕ интензивно,  ИЕ, БЕЛ и ИЦ",профилирана,Хуманитарни науки,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз),80081,дневна,Английски език,интензивно,(3 * BELNVO + 1 * MATNVO) + (1 * Bul + 1 * English),327,370.75,401
ВИТОША,"2 Средно училище ""Академик Емилиян Станев """,2202002,4.63,0,0,0,4565,"Програмиране на изкуствен интелект - английски интензивно, втори чужд език немски",професионална,Програмиране на изкуствен интелект,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),4810401,дневна,Английски език,интензивно,(2 * BELNVO + 2 * MATNVO) + (1 * Bul + 1 * Math),296,350,416
ВИТОША,"2 Средно училище ""Академик Емилиян Станев """,2202002,4.63,0,0,0,4702,"Програмиране на изкуствен интелект - английски интензивно, втори чужд език испански",професионална,Програмиране на изкуствен интелект,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),4810401,дневна,Английски език,интензивно,(2 * BELNVO + 2 * MATNVO) + (1 * Bul + 1 * Math),296,356,412.5
ВИТОША,"26 Средно училище ""Йордан Йовков""",2202026,4.15,0,4.51,2.31,965,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",профилирана,Софтуерни и хардуерни науки,(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз),80111,дневна,Английски език,интензивно,(2 * BELNVO + 2 * MATNVO) + (1 * IT + 1 * English),296,229,346
ВИТОША,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",2202401,4.03,0,0,0,851,Екология и опазване на околната среда - АЕ,професионална,Екология и опазване на околната среда,(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС),8510101,дневна,Английски език,разширено,(2 * BELNVO + 2 * MATNVO) + (1 * Biology + 1 * Chemistry),307,181,311.5
ВИТОША,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",2202401,4.03,0,0,0,874,Технология на фармацевтичните и парфюмерийно-козметични продукти - АЕ,професионална,Технология на фармацевтични и парфюмерийно - козметични продукти,(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС),5240110,дневна,Английски език,разширено,(2 * BELNVO + 2 * MATNVO) + (1 * Biology + 1 * Chemistry),307,140.5,370
ВИТОША,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",2202401,4.03,0,0,0,909,Технологичен и микробиологичен контрол в химични производства - лаборант - АЕ,професионална,Технологичен и микробиологичен контрол в химични производства,(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС),5240401,дневна,Английски език,разширено,(2 * BELNVO + 2 * MATNVO) + (1 * Biology + 1 * Chemistry),307,172,432
ВИТОША,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",2202401,4.03,0,0,0,2591,Осигуряване на продуктова информация - НЕ,професионална,Осигуряване на продуктова информация,(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС),5240301,дневна,Немски език,разширено,(2 * BELNVO + 2 * MATNVO) + (1 * Biology + 1 * Chemistry),307,0,0
ВРЪБНИЦА,"74 СУ ""ГОЦЕ ДЕЛЧЕВ""",2203074,3.77,0,0,3.95,1771,Софтуерни и хардуерни науки - АЕ интензивно,профилирана,Софтуерни и хардуерни науки,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),80111,дневна,Английски език,интензивно,(2 * BELNVO + 2 * MATNVO) + (1 * Bul + 1 * Math),296,163,298
ВРЪБНИЦА,"74 СУ ""ГОЦЕ ДЕЛЧЕВ""",2203074,3.77,0,0,3.95,1777,Природни науки - АЕ интензивно,профилирана,Природни науки,(3 * БЕЛ + 1 * МАТ) + (1 * БЗО + 1 * ХООС),80131,дневна,Английски език,интензивно,(3 * BELNVO + 1 * MATNVO) + (1 * Biology + 1 * Chemistry),338,178.25,276.5
ВРЪБНИЦА,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",2203140,3.38,0,0,0,1895,Български танци,професионална,Български танци,(3 * БЕЛ + 1 * МАТ) + (1 * ИЦ + 1 * Music),2120501,дневна,Английски език,без инт. и без разширено,(3 * BELNVO + 1 * MATNVO) + (1 * History + 1 * Music),325,200,324.5
ВРЪБНИЦА,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",2203140,3.38,0,0,0,1904,Графичен дизайн,професионална,Графичен дизайн,(1 * БЕЛ + 1 * МАТ + 2 * ИИ) + (1 * ИИ + 1 * КМИТ),2130701,дневна,Английски език,без инт. и без разширено,(1 * BELNVO + 1 * MATNVO + 2 * Art) + (1 * Art + 1 * IT),298,160.5,384.75
ВЪЗРАЖДАНЕ,"18 Средно училище ""Уилям Гладстон""",2204018,5.16,4.41,0,0,897,"Математически - АЕ интензивно, НЕ; М и Инф",профилирана,Математически,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),80121,дневна,Английски език,интензивно,(2 * BELNVO + 2 * MATNVO) + (1 * Bul + 1 * Math),296,402,422.5
ВЪЗРАЖДАНЕ,"18 Средно училище ""Уилям Гладстон""",2204018,5.16,4.41,0,0,902,"Природни науки - НЕ интензивно, АЕ; БЗО и ХООС",профилирана,Природни науки,(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС),80131,дневна,Немски език,интензивно,(2 * BELNVO + 2 * MATNVO) + (1 * Biology + 1 * Chemistry),307,403.5,428
ВЪЗРАЖДАНЕ,"18 Средно училище ""Уилям Гладстон""",2204018,5.16,4.41,0,0,905,"Природни науки - ФЕ интензивно, АЕ; БЗО и ХООС",профилирана,Природни науки,(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС),80131,дневна,Френски език,интензивно,(2 * BELNVO + 2 * MATNVO) + (1 * Biology + 1 * Chemistry),307,412,428.5
ВЪЗРАЖДАНЕ,"18 Средно училище ""Уилям Гладстон""",2204018,5.16,4.41,0,0,1631,"Чужди езици - ФЕ интензивно, ИЕ",профилирана,Чужди езици,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),80071,дневна,Френски език,интензивно,(2 * BELNVO + 2 * MATNVO) + (1 * Bul + 1 * Math),296,423,491
ВЪЗРАЖДАНЕ,"18 Средно училище ""Уилям Гладстон""",2204018,5.16,4.41,0,0,1637,"Чужди езици - ЯЕ интензивно, АЕ",профилирана,Чужди езици,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),80071,дневна,Друг език,интензивно,(2 * BELNVO + 2 * MATNVO) + (1 * Bul + 1 * Math),296,348.5,374
ВЪЗРАЖДАНЕ,"18 Средно училище ""Уилям Гладстон""",2204018,5.16,4.41,0,0,1642,"Хуманитарни науки - АрЕ интензивно, АЕ; БЕЛ и Фил",профилирана,Хуманитарни науки,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ИЦ),80081,дневна,Друг език,интензивно,(2 * BELNVO + 2 * MATNVO) + (1 * Bul + 1 * History),307,375.5,427
ВЪЗРАЖДАНЕ,"18 Средно училище ""Уилям Гладстон""",2204018,5.16,4.41,0,0,1647,"Чужди езици - КитЕ интензивно, АЕ",профилирана,Чужди езици,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),80071,дневна,Китайски език,интензивно,(2 * BELNVO + 2 * MATNVO) + (1 * Bul + 1 * Math),296,405.5,413
ВЪЗРАЖДАНЕ,"18 Средно училище ""Уилям Гладстон""",2204018,5.16,4.41,0,0,3931,"Чужди езици - КорЕ интензивно, АЕ",профилирана,Чужди езици,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),80071,дневна,Друг език,интензивно,(2 * BELNVO + 2 * MATNVO) + (1 * Bul + 1 * Math),296,393,399.5
ВЪЗРАЖДАНЕ,"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ""",2204030,5.07,0,0,0,1307,"Чужди езици - ИЕ интензивно, АЕ",профилирана,Чужди езици,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ЧЕз),80071,дневна,Испански език,интензивно,(2 * BELNVO + 2 * MATNVO) + (1 * Bul + 1 * English),296,382,404.5
ВЪЗРАЖДАНЕ,"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ""",2204030,5.07,0,0,0,1308,"Природни науки - ИЕ интензивно, АЕ",профилирана,Природни науки,(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ЧЕз),80131,дневна,Испански език,интензивно,(2 * BELNVO + 2 * MATNVO) + (1 * Biology + 1 * English),296,364.5,380
ВЪЗРАЖДАНЕ,"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ""",2204030,5.07,0,0,0,2602,"Природни науки - АЕ интензивно, ИЕ",профилирана,Природни науки,(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ЧЕз),80131,дневна,Английски език,интензивно,(2 * BELNVO + 2 * MATNVO) + (1 * Biology + 1 * English),296,357.5,396
